h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,fd,class
0.249521,0.182552,0.970767,29.609055,0.93653,10.324288,118.897959,1.774608,2.755905,0.164145,0.415696,-0.721339,0.977432,0.972791,1.845571,Actinopterygii.Perciformes.Pomacentridae.Chromis.C-chrysura
0.158677,0.410711,0.926608,16.764615,0.889884,7.505622,67.115876,2.12088,3.465236,0.363681,0.623179,-0.606946,0.975283,0.951507,1.864008,Actinopterygii.Perciformes.Pomacentridae.Chromis.C-chrysura
0.46845,0.091954,0.981853,32.088425,0.962359,10.90413,128.942276,1.295141,1.964587,0.088064,0.279659,-0.773368,0.957093,0.983409,1.833653,Actinopterygii.Perciformes.Pomacentridae.Chromis.C-chrysura
0.10905,0.746132,0.892382,18.850629,0.851771,7.875755,75.147642,2.291482,3.881359,0.670507,0.781758,-0.548358,0.973,0.94561,1.858528,Actinopterygii.Perciformes.Pomacentridae.Chromis.C-chrysura
0.328678,0.111111,0.977247,31.165756,0.95122,10.750226,125.222824,1.635552,2.485421,0.101781,0.332967,-0.746197,0.973703,0.983646,1.938062,Actinopterygii.Perciformes.Pomacentridae.Chromis.C-chrysura
0.348638,0.116859,0.980633,34.36379,0.945269,11.228893,138.039132,1.503803,2.294731,0.10481,0.355482,-0.732866,0.964188,0.982301,1.813487,Actinopterygii.Perciformes.Acanthuridae.Acanthurus.A-nigrofuscus
0.21782,0.152137,0.983317,27.316389,0.933784,9.572084,109.710698,1.823218,2.793362,0.133833,0.412292,-0.743876,0.981543,0.984515,1.821229,Actinopterygii.Perciformes.Acanthuridae.Acanthurus.A-nigrofuscus
0.203304,0.190468,0.974025,17.035769,0.919204,7.344086,68.410636,1.98924,3.096937,0.164492,0.472744,-0.690443,0.980728,0.97923,1.790375,Actinopterygii.Perciformes.Acanthuridae.Acanthurus.A-nigrofuscus
0.230684,0.05042,0.980633,20.814927,0.97479,8.866,83.762435,1.566153,2.309902,0.05344,0.199751,-0.84188,0.982449,0.981421,1.850506,Actinopterygii.Perciformes.Acanthuridae.Acanthurus.A-nigrofuscus
0.288755,0.126396,0.982134,18.376783,0.94063,7.735646,73.863238,1.605148,2.45125,0.112017,0.375185,-0.727097,0.969129,0.985154,1.602172,Actinopterygii.Perciformes.Acanthuridae.Acanthurus.A-nigrofuscus
0.127847,0.474974,0.921905,30.709089,0.862986,10.551342,123.019866,2.229473,3.720488,0.41378,0.710426,-0.549008,0.969598,0.930178,1.711143,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-lunulatus
0.221053,0.10512,0.948334,6.603157,0.948524,4.758133,26.603916,1.669311,2.519627,0.094917,0.335519,-0.720804,0.970333,0.952901,1.793897,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-lunulatus
0.123855,0.157087,0.973025,26.969757,0.928488,9.841053,108.336031,2.255794,3.44064,0.13637,0.428443,-0.730223,0.990396,0.973606,1.891556,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-lunulatus
0.085738,0.386162,0.9469,30.185927,0.848375,10.336539,121.002605,2.495281,4.052498,0.322527,0.699225,-0.565765,0.979348,0.948619,1.816612,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-lunulatus
0.151846,0.15138,0.968903,16.265205,0.937728,7.469321,65.375295,2.139857,3.246114,0.134976,0.391152,-0.743117,0.989178,0.972923,1.897685,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-lunulatus
0.239503,0.114994,0.942164,25.587166,0.942503,9.949522,102.85454,1.731094,2.612434,0.101871,0.356831,-0.702401,0.969992,0.95163,1.860472,Actinopterygii.Beryciformes.Holocentridae.Myripristis.M-kuntee
0.303669,0.06624,0.945977,26.632776,0.96688,10.233153,107.10346,1.348212,2.0113,0.065305,0.243804,-0.760336,0.95665,0.948136,1.833512,Actinopterygii.Beryciformes.Holocentridae.Myripristis.M-kuntee
0.316294,0.096673,0.958633,27.664542,0.951852,10.326114,111.205901,1.524704,2.297664,0.088208,0.317821,-0.723169,0.962251,0.960094,1.84217,Actinopterygii.Beryciformes.Holocentridae.Myripristis.M-kuntee
0.275094,0.073228,0.954819,36.991961,0.963386,12.061474,148.647481,1.474202,2.200051,0.070546,0.261909,-0.765934,0.966873,0.959446,1.694349,Actinopterygii.Beryciformes.Holocentridae.Myripristis.M-kuntee
0.313253,0.067048,0.959645,27.6315,0.966705,10.385143,111.107048,1.378651,2.057729,0.066006,0.245733,-0.769631,0.961143,0.964083,1.799853,Actinopterygii.Beryciformes.Holocentridae.Myripristis.M-kuntee
0.33929,0.356414,0.939174,48.751668,0.884345,13.569627,195.497383,1.692277,2.823144,0.309018,0.627787,-0.577808,0.948227,0.956815,1.881865,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-trifascialis
