peaks_freq_1,peaks_freq_2,peaks_freq_3,peaks_freq_4,peaks_freq_5,peaks_freq_6,inharmonicity,eh_1,eh_2,eh_3,eh_4,eh_5,eh_6,eh_7,eh_8,eh_9,eh_10,eh_11,eh_12,eh_13,eh_14,eh_15,eh_16,eh_17,eh_18,eh_19,eh_20,eh_21,eh_22,eh_23,eh_24,eh_25,eh_26,class
0.152503,0.18792,0.276189,0.006452,0.328916,0.30719,0.280563,0.012137,0.011976,0.026289,0.036726,0.0072,0.010058,0.083492,0.028987,0.00897,0.023029,0.019127,0.003745,0.005218,0.011526,0.043956,0.112972,0.071728,0.039372,0.01186,0.009887,0.011517,0.009988,0.007007,0.029639,0.018153,0.005176,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:M
0.158928,0.183994,0.016903,0.373784,0.251053,0.178971,0.203389,0.017008,0.027502,0.054406,0.050283,0.018748,0.027052,0.128718,0.05235,0.019817,0.046974,0.021566,0.007855,0.013554,0.03206,0.09507,0.159864,0.106395,0.069577,0.031942,0.014544,0.026349,0.009766,0.013842,0.023109,0.016373,0.013603,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:M
0.0124,0.090549,0.184017,0.286061,0.510953,0.396017,0.419278,0.040427,0.025731,0.026714,0.019492,0.010167,0.008268,0.022627,0.011396,0.005361,0.006468,0.004308,0.002827,0.004134,0.003475,0.009479,0.020642,0.015868,0.010145,0.005006,0.005026,0.005411,0.005539,0.005677,0.005876,0.005069,0.005986,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:M
0.298811,0.088026,0.260182,0.357029,0.00608,0.292286,0.26408,0.006215,0.030816,0.023537,0.055262,0.007389,0.05419,0.095733,0.018464,0.080142,0.012052,0.009187,0.006348,0.024748,0.078407,0.199607,0.108619,0.046346,0.022284,0.012707,0.017246,0.008561,0.012425,0.026776,0.012704,0.004563,0.009889,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:M
0.142497,0.176435,0.260595,0.007605,0.304468,0.018591,0.208838,0.025425,0.07322,0.038968,0.095449,0.018919,0.09149,0.152131,0.021717,0.072411,0.014652,0.012459,0.011777,0.03349,0.128313,0.291519,0.169075,0.070134,0.026517,0.023207,0.020444,0.015038,0.022664,0.058328,0.015351,0.009057,0.014334,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:M
0.217361,0.066338,0.012272,0.198848,0.226906,0.058163,0.126637,0.019463,0.015957,0.01755,0.021177,0.01697,0.020018,0.022685,0.012514,0.013757,0.019557,0.037136,0.013914,0.013388,0.008531,0.007221,0.011632,0.01432,0.011662,0.009327,0.012563,0.017782,0.030893,0.054555,0.040874,0.013629,0.010904,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:F
0.11586,0.144097,0.212624,0.291358,0.010716,0.285759,0.245505,0.008602,0.013811,0.036289,0.006188,0.053942,0.012112,0.022134,0.013112,0.003841,0.004325,0.019653,0.076034,0.055486,0.014429,0.00628,0.008291,0.004259,0.012886,0.020183,0.004638,0.005759,0.004465,0.005618,0.006348,0.027977,0.061874,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:F
0.176883,0.050252,0.206951,0.158807,0.231939,0.206763,0.144526,0.022412,0.016858,0.097896,0.019958,0.078889,0.005643,0.01068,0.199834,0.106043,0.021517,0.018601,0.005225,0.029497,0.006297,0.008584,0.004518,0.021746,0.21711,0.178513,0.064236,0.013124,0.004332,0.021776,0.004907,0.002944,0.003763,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:F
0.119899,0.143778,0.215831,0.292045,0.319632,0.285809,0.212953,0.003608,0.016337,0.066879,0.003473,0.081375,0.019288,0.026772,0.012458,0.004979,0.003293,0.026253,0.122756,0.108392,0.024966,0.009632,0.012459,0.006067,0.011094,0.032516,0.006071,0.010359,0.006015,0.003592,0.007693,0.040189,0.082272,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:F
0.205268,0.05747,0.17922,0.368691,0.213148,0.1996,0.173695,0.022792,0.019908,0.006751,0.052883,0.007129,0.040316,0.014125,0.00664,0.02589,0.068079,0.029085,0.008671,0.007105,0.004761,0.018177,0.015291,0.007224,0.005481,0.004878,0.015452,0.075378,0.082235,0.036617,0.007793,0.003995,0.005792,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:F
